,Value
Length of Time Series,9535.0
Percentage of Recurrent Points (%REC),9.458596636628942
Avarage Diagonal Line Length (MeanL),258.4941533651967
Diagonal Line Entropy (EntrL),6.185907297854688
Avarage Vertical Line Length (MeanV),105.02150815058052
Max Vertical Line Length (MaxV),427.0
Vertical Line Entropy (EntrV),5.513337215408576
