,Value
Length of Time Series,976.0
Percentage of Recurrent Points (%REC),20.51993751679656
Avarage Diagonal Line Length (MeanL),7.266122417093082
Diagonal Line Entropy (EntrL),2.1005655526165476
Avarage Vertical Line Length (MeanV),9.966917007320088
Max Vertical Line Length (MaxV),44.0
Vertical Line Entropy (EntrV),2.325279219700502
